attacker_id,total_events,systems_targeted,targets,address_scope
A0001,165213,1,Cowrie,global
A0002,95002,1,Cowrie,global
A0003,58136,1,Cowrie,global
A0004,42531,1,Cowrie,global
A0005,29471,1,Cowrie,global
A0006,24681,1,Cowrie,global
A0007,23843,1,Cowrie,global
A0008,23650,1,Cowrie,global
A0009,23411,1,Cowrie,global
A0010,17855,1,Cowrie,global
A0011,11404,1,Cowrie,global
A0012,6656,1,Cowrie,global
A0013,4079,1,Cowrie,global
A0014,3424,1,Cowrie,global
A0015,3422,1,Cowrie,global
A0016,3394,1,Cowrie,global
A0017,3385,1,Cowrie,global
A0018,3174,1,Cowrie,global
A0019,3154,1,Cowrie,global
A0020,2956,1,Cowrie,global
A0021,2780,1,Cowrie,global
A0022,2624,1,Cowrie,global
A0023,2622,1,Cowrie,global
A0024,2526,1,Cowrie,global
A0025,2115,1,Cowrie,global
A0026,2114,1,Cowrie,global
A0027,2083,1,Cowrie,global
A0028,1711,1,Cowrie,global
A0029,1363,1,Cowrie,global
A0030,1281,1,Cowrie,global
A0031,1260,1,Cowrie,global
A0032,1239,1,Cowrie,global
A0033,1238,1,Cowrie,global
A0034,1231,1,Cowrie,global
A0035,1230,1,Cowrie,global
A0036,1230,1,Cowrie,global
A0037,1217,1,Cowrie,global
A0038,1208,1,Cowrie,global
A0039,1206,1,Cowrie,global
A0040,1105,1,Cowrie,global
A0041,1061,1,Cowrie,global
A0042,1052,1,Cowrie,global
A0043,1045,1,Cowrie,global
A0044,1037,1,Cowrie,global
A0045,1023,1,Cowrie,global
A0046,1005,1,Cowrie,global
A0047,980,1,Cowrie,global
A0048,967,1,Cowrie,global
A0049,961,1,Cowrie,global
A0050,941,1,Cowrie,global
A0051,927,1,Cowrie,global
A0052,919,1,Cowrie,global
A0053,914,1,Cowrie,global
A0054,910,1,Cowrie,global
A0055,898,1,Cowrie,global
A0056,893,1,Cowrie,global
A0057,887,1,Cowrie,global
A0058,855,1,Cowrie,global
A0059,852,1,Cowrie,global
A0060,846,1,Cowrie,global
A0061,843,1,Cowrie,global
A0062,841,1,Cowrie,global
A0063,829,1,Cowrie,global
A0064,826,1,Cowrie,global
A0065,820,1,Cowrie,global
A0066,818,1,Cowrie,global
A0067,817,1,Cowrie,global
A0068,816,1,Cowrie,global
A0069,812,1,Cowrie,global
A0070,811,1,Cowrie,global
A0071,808,1,Cowrie,global
A0072,805,1,Cowrie,global
A0073,800,1,Cowrie,global
A0074,784,1,Cowrie,global
A0075,779,1,Cowrie,global
A0076,762,1,Cowrie,global
A0077,759,1,Cowrie,global
A0078,759,1,Cowrie,global
A0079,754,1,Cowrie,global
A0080,748,1,Cowrie,global
A0081,747,1,Cowrie,global
A0082,744,1,Cowrie,global
A0083,743,1,Cowrie,global
A0084,735,1,Cowrie,global
A0085,721,1,Cowrie,global
A0086,713,1,Cowrie,global
A0087,709,1,Cowrie,global
A0088,698,1,Cowrie,global
A0089,698,1,Cowrie,global
A0090,694,1,Cowrie,global
A0091,690,1,Cowrie,global
A0092,678,1,Cowrie,global
A0093,666,1,Cowrie,global
A0094,665,1,Cowrie,global
A0095,658,1,Cowrie,global
A0096,654,1,Cowrie,global
A0097,651,1,Cowrie,global
A0098,646,1,Cowrie,global
A0099,643,1,Cowrie,global
A0100,639,1,Cowrie,global
A0101,637,1,Cowrie,global
A0102,632,1,Cowrie,global
A0103,631,1,Cowrie,global
A0104,629,1,Cowrie,global
A0105,625,1,Cowrie,global
A0106,623,1,Cowrie,global
A0107,621,1,Cowrie,global
A0108,615,1,Cowrie,global
A0109,613,1,Cowrie,global
A0110,612,1,Cowrie,global
A0111,610,1,Cowrie,global
A0112,608,1,Cowrie,global
A0113,605,1,Cowrie,global
A0114,603,1,Cowrie,global
A0115,602,1,Cowrie,global
A0116,602,1,Cowrie,global
A0117,601,1,Cowrie,global
A0118,601,1,Cowrie,global
A0119,600,1,Cowrie,global
A0120,600,1,Cowrie,global
